id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
1,KOLANGI CONSTRUCTION LLC,CONVENTUS LLC,11404 BIONA DR,2025-06-27,1300000,1415000
2,OCEAN DEVELOPMENT INC,FORGE TRUST CO,151 E 105TH ST,2025-06-27,550000,500000
3,CHIMAY ENTERPRISES LLC,GENESIS CAPITAL LLC,1501 PLEASANT AVE,2025-06-26,610000,755593
4,SAWTELLE309 LLC,FIRST GENERAL BANK,10548 AYRES AVE,2025-06-26,1895000,995000
5,GALAXY INVESTMENT PARTNERS FUND LLC,BANK OF AMERICA NA,1200 N DOHENY DR,2025-06-26,5021500,2000000
6,MR REHAB INC,LEGACY LENDING LLC,5282 TOWNSEND AVE,2025-06-26,1050000,1209175
7,WRT INVESTMENTS INC,ANCHOR LOANS LP,547 W 106TH ST,2025-06-26,565000,583500
8,BARRINGTON VISION LLC,JPMORGAN CHASE BANK NA,3252 S BARRINGTON AVE,2025-06-25,2000000,1450000
9,CALDEV LLC,GENESIS CAPITAL LLC,1471 RIDGE WAY,2025-06-25,1600000,1650000
10,AHAVA PROPERTIES LLC,KIAVI FUNDING INC,349 KIRBY ST,2025-06-25,800000,810300
11,PAN PARTNERSHIP INC,VELOCITY COMMERCIAL CAP LLC,328 W 83RD ST,2025-06-25,489000,866100
12,RAPID RENO INVESTMENTS LLC,KIAVI FUNDING INC,3637 VIRGINIA RD,2025-06-24,1000000,1049900
13,CHIMAY ENTERPRISES LLC,GENESIS CAPITAL LLC,5353 HUNTINGTON DR N,2025-06-24,710000,568000
14,3132 HELMS LLC,US BANK NATIONAL ASSOCIATION,3132 HELMS AVE,2025-06-24,1500000,1125000
15,CSP ENTERPRISE LLC,ORCHARD FUNDING,1148 E 83RD ST,2025-06-24,400000,427500
16,SPC LA RENTAL 4 LLC,CONVENTUS LLC,8018 S NEW HAMPSHIRE AVE,2025-06-24,1100000,975000
17,CRESPO HOLDINGS CO LLC,ORCHARD FUNDING,1020 W 55TH ST,2025-06-23,550000,576000
