id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
1,DECO COLLECTIVE LLC,WELSH LENDING LLC,1318 WHARTON ST,2025-06-26,330000,475000
2,PURITY HOMES INC,RFLF 4 LLC,1316 S 6TH ST,2025-06-26,320000,425100
3,MASON EDWARD LLC,KIAVI FUNDING INC,538 W QUEEN LN,2025-06-26,250000,302900
4,1 STOP PROPERTIES LLC,BROWN MATTHEW,2662 E HUNTINGDON ST,2025-06-26,167500,280000
5,LIBI BAMIZRACH INVESTMENTS LLC,KIAVI FUNDING INC,449 DELMAR ST,2025-06-26,205000,256400
6,6532 CHEW AVE LLC,PARAMOUNT RESID MTG GRP INC,6532 CHEW AVE,2025-06-26,0,144000
7,ADETOL LLC,HYPERION BANK,1711 N 60TH ST,2025-06-26,265000,198750
8,COLMON & ASSOCIATES LLC,ARK CAPITAL GROUP LLC,2533 N 7TH ST,2025-06-26,100000,262500
9,MARK BUYS YOUR HOME LLC,KIAVI FUNDING INC,1111 MORRIS ST,2025-06-26,240000,408700
10,SUPERVILLE INVESTMENTS LLC,KIAVI FUNDING INC,5742 PENTRIDGE ST,2025-06-26,160000,195400
11,PWBH HOLDINGS 2 LLC,PICON DAWN,5516 BELMAR TER,2025-06-26,72500,148000
12,JZM CONSULTING LLC,CROWDCOPIA LLC,1757 SCATTERGOOD ST,2025-06-26,100000,117000
13,K Y R HOME IMPROVEMENT LLC,KIAVI FUNDING INC,4036 N 12TH ST,2025-06-26,95500,178800
14,CAPITAL BLOCK LLC,KIAVI FUNDING INC,4975 W THOMPSON ST,2025-06-26,160000,202800
15,L-NATION PROPERTY GROUP LLC,YANG CHANGFA,1822 W THOMPSON ST,2025-06-26,155000,215350
16,HAPPY MELODY LLC,GENERAL MORTGAGE CAPITAL CORP,4753 LORING ST,2025-06-26,200000,150000
17,CHREST PROPERTIES LLC,STEPSTONE LENDING LLC,1627 S 9TH ST,2025-06-25,255000,416250
18,092 ENTERPRISES LLC,LOAN FUNDER LLC,1928 W RUSCOMB ST,2025-06-25,80000,204570
19,CHREST PROPERTIES LLC,DIRECT MORTGAGE LOANS LLC,927 MOORE ST,2025-06-25,300000,350000
20,MAGANGA SOLUTION GROUP INC,WORLDWIDE INVESTORS SOLUTIONS,2549 N HOLLYWOOD ST,2025-06-25,15000,120000
21,AS3 REALTY LLC,SPRING GARDEN LNDG GROUP LLC,2616 N 33RD ST,2025-06-25,135000,424850
22,YIRKWA LLC,BRRRR FUNDER LLC,2035 S ALDEN ST,2025-06-25,0,142500
23,BLACK WOMEN EMPOWERMENT LLC,BROOKLYN FUNDING GROUP LTD,836 S 58TH ST,2025-06-24,327800,159900
24,GRADUS REALTY LLC,REHAB FINANCIAL GROUP LP,1703 BELFIELD AVE # 5,2025-06-24,132000,185570
25,1 HEMBERGER,L2L FUND I LLC,3050 N HEMBERGER ST,2025-06-24,50000,100000
26,092 ENTERPRISES LLC,LOAN FUNDER LLC,5633 BLOYD ST,2025-06-24,100000,185500
27,BELLCAN LLC,BARNETT REI FINANCE 2 LLC,2837 W CUMBERLAND ST,2025-06-24,70000,1000000
28,VNA INVESTMENT GROUP LLC,AMERICAN HERITAGE LENDING LLC,1920 N 18TH ST,2025-06-24,380000,304000
29,OTT LTD LLC,MERIDIAN BANK,141 GREEN LN,2025-06-24,368000,184000
30,TRASH QUEEN INC,STONE BAY HOLDINGS II LLC,875 FOULKROD ST,2025-06-24,70000,171000
31,MAYAN VENTURE LLC,ICE LENDER HOLDINGS LLC,5820 THEODORE ST,2025-06-24,210000,157500
32,SIMPLE HOMES FULLER CENTER INC,IMPACT LOAN FUND INC,3413 CRYSTAL ST,2025-06-24,40000,61500
33,SIMPLE HOMES FULLER CENTER INC,IMPACT LOAN FUND INC,3425 CRYSTAL ST,2025-06-24,40000,50250
34,RK REALTY GROUP LLC,KIAVI FUNDING INC,6503 TORRESDALE AVE,2025-06-24,0,155400
35,KYS HOLDINGS LLC,CANDIDO MICHAEL,7812 BAYARD ST,2025-06-24,140000,165000
36,ARIHANT HOLDINGS LLC,KIAVI FUNDING INC,5226 CHANCELLOR ST,2025-06-24,135000,221360
37,1-4 RENTAL SFIG LLC,LAVA FUNDING SOUTH LLC,1240 N CONESTOGA ST,2025-06-23,130000,145000
38,FULL EFFECT HOUSING LLC,CROWDCOPIA LLC,2133 N 12TH ST,2025-06-23,70000,139750
39,ORCHARD STREET MANAGEMENT LLC,DAHANA2 LLC,4340 ORCHARD ST,2025-06-23,80000,130000
40,GADSON INVESTMENTSLLC,HS INVESTMENT FUNDING LLC,904 W ARIZONA ST,2025-06-23,58500,165000
41,CA 14 PROPERTIES LLC,CUSTOMIZED LNDG SOLUTIONS LLC,611 W YORK ST,2025-06-23,235000,350000
42,GOLDEN GUYS INVESTMENTS LLC,SPG CAPITAL FUND I LLC,2504 S 76TH ST,2025-06-23,130000,180000
43,ALION INVESTMENTS LLC,RFLF 4 LLC,1840 N 21ST ST,2025-06-23,365000,525000
44,V & V HOLDINGS LLC,CROWDCOPIA LLC,1468 N HIRST ST,2025-06-23,46000,185000
45,GARDEN OF SHEBA LLC,REHAB FINANCIAL GROUP LP,1623 W MENTOR ST,2025-06-20,100000,130000
46,USA LEGACY HOLDINGS LLC,COMMERCIAL LENDER LLC,2357 N LAMBERT ST,2025-06-20,976516,311250
47,341 HOLDINGS GROUP LLC,CROWDCOPIA LLC,6940 FORREST AVE,2025-06-20,290000,203000
48,DEEDS AND KEYS LLC,KIAVI FUNDING INC,5718 N LAMBERT ST,2025-06-20,64000,146900
49,SMOKEY HOME BUILDERS LLC,REAL ESTATE INVESTMENT CO,2731 HARPER ST,2025-06-20,175000,260000
50,USA LEGACY HOLDINGS LLC,COMMERCIAL LENDER LLC,2463 N PATTON ST,2025-06-20,976516,311250
